state_name,year,value
Alabama,1960,0.9773913262424365
Alaska,1960,1.8025255837059113
Arizona,1960,0.9081289631096539
Arkansas,1960,0.876403806762891
California,1960,1.6640749375633703
Colorado,1960,1.5625561997699862
Connecticut,1960,1.3195848491653557
Delaware,1960,0.3497657078306098
Florida,1960,1.1712652961231456
Georgia,1960,1.022014324697686
Hawaii,1960,1.0501738970663297
Idaho,1960,0.9314904286521184
Illinois,1960,1.237315401942169
Indiana,1960,0.7772108894922738
Iowa,1960,1.1925573566339338
Kansas,1960,1.0162250236476638
Kentucky,1960,0.6843101280035953
Louisiana,1960,0.6704351441656584
Maine,1960,1.5114818882741652
Maryland,1960,0.9267566502664195
Massachusetts,1960,1.358839406869052
Michigan,1960,1.4538300702964975
Minnesota,1960,0.7271799944198314
Mississippi,1960,0.9687560854446104
Missouri,1960,0.4799273149187826
Montana,1960,0.7518358205908164
Nebraska,1960,1.0540292890730782
Nevada,1960,1.5545955195339864
New-Hampshire,1960,1.484005076591199
New-Jersey,1960,0.9461863911969424
New-Mexico,1960,0.9463892302771661
New-York,1960,1.2779668592504905
North-Carolina,1960,1.8287050541344279
North-Dakota,1960,0.36162470653083645
Ohio,1960,0.9368424215203888
Oklahoma,1960,0.18494144907416654
Oregon,1960,0.7885645836310573
Pennsylvania,1960,0.9036275646652889
Rhode-Island,1960,2.540925082851878
South-Carolina,1960,1.3308032991037706
South-Dakota,1960,0.9078478111453663
Tennessee,1960,1.5266290753935046
Texas,1960,1.626062116788816
Utah,1960,0.9620674587782183
Vermont,1960,1.1674037659323986
Virginia,1960,1.1232421860645516
Washington,1960,0.20111574083525596
West-Virginia,1960,0.8793987641971022
Wisconsin,1960,0.9051638187398368
Wyoming,1960,0.9335896875786851
Alabama,1970,1.1396644005743468
Alaska,1970,2.2510711335225135
Arizona,1970,0.8176655302179725
Arkansas,1970,0.8854231195857061
California,1970,1.7586194393973429
Colorado,1970,1.6033049833615785
Connecticut,1970,0.8433740549442312
Delaware,1970,0.013830009050760594
Florida,1970,1.05426432299641
Georgia,1970,0.7120323649701596
Hawaii,1970,0.8027562759869085
Idaho,1970,1.420483167629591
Illinois,1970,1.3002817167860954
Indiana,1970,1.1100733043436826
Iowa,1970,1.0777993657663565
Kansas,1970,1.2071064518982801
Kentucky,1970,0.9334173965117145
Louisiana,1970,0.8490440220756845
Maine,1970,1.3233038809382833
Maryland,1970,0.7338187058094974
Massachusetts,1970,0.8710487039721251
Michigan,1970,1.3355228616731019
Minnesota,1970,0.6269160525080117
Mississippi,1970,1.0062499098326647
Missouri,1970,0.6123115502657406
Montana,1970,1.2055347501514113
Nebraska,1970,1.3180276422432264
Nevada,1970,1.4299002579126103
New-Hampshire,1970,1.7284463521357765
New-Jersey,1970,0.6984451680514994
New-Mexico,1970,1.2475765946008472
New-York,1970,1.3562836494293933
North-Carolina,1970,1.6001216272312178
North-Dakota,1970,0.7258875256041222
Ohio,1970,1.0968665999768596
Oklahoma,1970,0.49472571436348645
Oregon,1970,1.2336275374449635
Pennsylvania,1970,0.7828388828777335
Rhode-Island,1970,2.1806808280423837
South-Carolina,1970,0.8975227391816212
South-Dakota,1970,0.8233742727068609
Tennessee,1970,1.750471653430779
Texas,1970,1.5964010643148256
Utah,1970,1.2624554369202947
Vermont,1970,1.343243873724898
Virginia,1970,1.1554860665945306
Washington,1970,0.6298939427964818
West-Virginia,1970,0.9821473980768793
Wisconsin,1970,0.864124818814691
Wyoming,1970,0.8893563617309397
Alabama,1980,0.9782345779828354
Alaska,1980,1.5205037257824152
Arizona,1980,0.7328153917345475
Arkansas,1980,0.32369529564678956
California,1980,1.253000680508201
Colorado,1980,0.9432729450353499
Connecticut,1980,0.39742278613668347
Delaware,1980,-0.42830780066553586
Florida,1980,0.5698851029949097
Georgia,1980,0.017024355388606693
Hawaii,1980,0.3672879026056677
Idaho,1980,0.7224773288691999
Illinois,1980,0.22597884980503125
Indiana,1980,0.7705502861536999
Iowa,1980,0.45409661855473615
Kansas,1980,0.8433228603120853
Kentucky,1980,0.14236874017516143
Louisiana,1980,0.9130247841087673
Maine,1980,0.9625764312788796
Maryland,1980,0.16978569435654833
Massachusetts,1980,0.5579111188235402
Michigan,1980,0.8495617118864374
Minnesota,1980,-0.3608340784898161
Mississippi,1980,0.7039362636016584
Missouri,1980,-0.03753409686353493
Montana,1980,-0.13813970152910215
Nebraska,1980,0.670637942415393
Nevada,1980,0.6553293319451008
New-Hampshire,1980,0.9084831812397489
New-Jersey,1980,0.06357586645706803
New-Mexico,1980,1.0560410754751643
New-York,1980,0.7621650776800095
North-Carolina,1980,1.1372854119456441
North-Dakota,1980,-0.567979605169139
Ohio,1980,0.5195409768014727
Oklahoma,1980,0.42317589776044784
Oregon,1980,-0.1880606877215918
Pennsylvania,1980,0.24032185315993715
Rhode-Island,1980,1.8857315054883017
South-Carolina,1980,0.3299766653736995
South-Dakota,1980,0.30678074025682633
Tennessee,1980,1.1754116189970603
Texas,1980,0.9560334469782035
Utah,1980,-0.17265198129963366
Vermont,1980,0.8876230188704923
Virginia,1980,0.8371708483895794
Washington,1980,0.21049346371870925
West-Virginia,1980,-0.0017393449428055874
Wisconsin,1980,-0.07553443711763919
Wyoming,1980,0.1030969111732638
Alabama,1990,0.9229796187793013
Alaska,1990,0.40065006907158107
Arizona,1990,0.1643938032922989
Arkansas,1990,0.20540844782884093
California,1990,0.660887423527889
Colorado,1990,0.9363630715418303
Connecticut,1990,0.6234036230256734
Delaware,1990,-0.2508355347773694
Florida,1990,0.4005049098666831
Georgia,1990,0.2973302166057614
Hawaii,1990,0.8341280103981639
Idaho,1990,-0.07277231556526331
Illinois,1990,0.22428119279477698
Indiana,1990,0.9174730348624358
Iowa,1990,0.7876035427257086
Kansas,1990,0.6937301512769771
Kentucky,1990,0.08361898345684438
Louisiana,1990,0.575465984797443
Maine,1990,0.8091444378661983
Maryland,1990,0.06135587176503776
Massachusetts,1990,0.8117126009704059
Michigan,1990,0.6314621535362619
Minnesota,1990,-0.021334190773671935
Mississippi,1990,0.40532094808402874
Missouri,1990,0.4164970431918569
Montana,1990,-0.07281452748912898
Nebraska,1990,0.711600963599615
Nevada,1990,-0.4073073175047064
New-Hampshire,1990,0.9345926205690382
New-Jersey,1990,-0.24021109364473858
New-Mexico,1990,0.20435823993358326
New-York,1990,0.70165500956114
North-Carolina,1990,1.022993848205843
North-Dakota,1990,0.01071303649565536
Ohio,1990,0.5617905463800383
Oklahoma,1990,-0.0664254197034353
Oregon,1990,-0.31070804156544085
Pennsylvania,1990,0.1943878012099418
Rhode-Island,1990,1.3453537077489486
South-Carolina,1990,0.46744548789035534
South-Dakota,1990,0.30694467468305575
Tennessee,1990,0.915906790791361
Texas,1990,0.38932111821107895
Utah,1990,-0.18283724965804637
Vermont,1990,0.6911147472932804
Virginia,1990,0.7019950118748639
Washington,1990,0.2541956869390063
West-Virginia,1990,0.10931455130691248
Wisconsin,1990,0.3756430462269229
Wyoming,1990,0.3569512415872147
Alabama,2000,0.5711097183376559
Alaska,2000,0.43804583222750537
Arizona,2000,-0.025587557588004017
Arkansas,2000,-0.20487226180511087
California,2000,0.03559795575336011
Colorado,2000,0.3768678248916295
Connecticut,2000,0.6942044314694193
Delaware,2000,-0.41170491122770514
Florida,2000,0.1624621671464226
Georgia,2000,-0.18884883871275093
Hawaii,2000,-0.5718496076870174
Idaho,2000,-0.24686970309426925
Illinois,2000,-0.09810094658691426
Indiana,2000,0.3332590966934106
Iowa,2000,0.07538825715043984
Kansas,2000,-0.12112979332965779
Kentucky,2000,-0.16215899393667144
Louisiana,2000,0.2546037196578368
Maine,2000,0.38930350665877356
Maryland,2000,-0.12858267153910674
Massachusetts,2000,0.7336511442745461
Michigan,2000,-0.08016379151950304
Minnesota,2000,-0.46323732723598
Mississippi,2000,-0.14689186724645964
Missouri,2000,-0.07107290964892243
Montana,2000,-0.3519308535614414
Nebraska,2000,-0.036945484487816316
Nevada,2000,-0.6244609966723118
New-Hampshire,2000,0.8537847008145683
New-Jersey,2000,-0.019044015270605286
New-Mexico,2000,0.3019055114359368
New-York,2000,0.4700595308576432
North-Carolina,2000,-0.16461263431530426
North-Dakota,2000,-1.543990534130888
Ohio,2000,0.24125412898352394
Oklahoma,2000,-0.22827742958441988
Oregon,2000,-0.4920346378675582
Pennsylvania,2000,0.2677175414599624
Rhode-Island,2000,0.7857368202573696
South-Carolina,2000,0.0711749586591246
South-Dakota,2000,-0.37072498621970595
Tennessee,2000,0.29100822053909425
Texas,2000,0.3505964382200659
Utah,2000,-0.3011685618820117
Vermont,2000,0.04881607224275086
Virginia,2000,0.1936872044042488
Washington,2000,-0.11502019748348147
West-Virginia,2000,-0.11932501752308866
Wisconsin,2000,-0.29545224533681846
Wyoming,2000,-0.1156360778229164
